"filenames","NN_Pred_Median","Lower_Quantile_0.025","Upper_Quantile_0.975"
"SABL_COMBO2022_NIR0022B_PRD_149_102188429_O1",29.0696,23.8517,33.6996
"SABL_COMBO2022_NIR0022B_PRD_150_102188430_O1",36.0374,31.5191,39.5156
"SABL_COMBO2022_NIR0022B_PRD_151_102188431_O1",11.1001,9.3682,12.8904
"SABL_COMBO2022_NIR0022B_PRD_152_102188432_O1",11.5505,9.5933,13.9227
"SABL_COMBO2022_NIR0022B_PRD_153_102188433_O1",10.1362,8.5005,11.7284
"SABL_COMBO2022_NIR0022B_PRD_154_102188434_O1",7.0743,5.8598,8.1989
"SABL_COMBO2022_NIR0022B_PRD_155_102188435_O1",0.6629,0,1.0016
"SABL_COMBO2022_NIR0022B_PRD_156_102188436_O1",0.6851,0,0.9418
"SABL_COMBO2022_NIR0022B_PRD_157_102188437_O1",0.899,0.554,1.11
"SABL_COMBO2022_NIR0022B_PRD_158_102188438_O1",0.9633,0.7472,1.1641
"SABL_COMBO2022_NIR0022B_PRD_159_102188439_O1",0.7462,0.4422,0.9421
"SABL_COMBO2022_NIR0022B_PRD_160_102188440_O1",0.8658,0.5641,1.0631
"SABL_COMBO2022_NIR0022B_PRD_161_102188441_O1",1.943,1.6764,2.2595
"SABL_COMBO2022_NIR0022B_PRD_162_102188442_O1",14.3505,12.2845,16.2602
"SABL_COMBO2022_NIR0022B_PRD_163_102188443_O1",10.0535,8.2716,11.893
"SABL_COMBO2022_NIR0022B_PRD_164_102188444_O1",1.9232,1.6193,2.2445
"SABL_COMBO2022_NIR0022B_PRD_165_102188445_O1",0.7191,0,1.0337
"SABL_COMBO2022_NIR0022B_PRD_166_102188446_O1",2.0578,1.4878,2.4237
"SABL_COMBO2022_NIR0022B_PRD_167_102188447_O1",1.0274,0.5617,1.2814
"SABL_COMBO2022_NIR0022B_PRD_168_102188448_O1",1.539,1.1939,1.811
"SABL_COMBO2022_NIR0022B_PRD_169_102188449_O1",2.3114,1.8858,2.8302
"SABL_COMBO2022_NIR0022B_PRD_170_102188450_O1",1.9078,1.5337,2.2311
"SABL_COMBO2022_NIR0022B_PRD_171_102188451_O1",2.1539,1.858,2.5045
"SABL_COMBO2022_NIR0022B_PRD_172_102188452_O1",4.0944,2.7937,5.5349
"SABL_COMBO2022_NIR0022B_PRD_173_102188453_O1",1.9727,1.7033,2.2702
"SABL_COMBO2022_NIR0022B_PRD_175_102188455_O1",1.827,1.4875,2.1485
